TAMBON_E,AM_ID,AMPHOE_E,CHANGWAT_E,LAT,LONG
Muang Chum,7106,Tha Muang,Kanchanaburi,13.937,99.617
Wang Khanai,7106,Tha Muang,Kanchanaburi,13.96,99.663
Wang Sala,7106,Tha Muang,Kanchanaburi,13.971,99.697
Tha Muang,7106,Tha Muang,Kanchanaburi,13.974,99.625
Tha Lo,7106,Tha Muang,Kanchanaburi,13.987,99.589
Thung Thong,7106,Tha Muang,Kanchanaburi,14.008,99.666
Nong Khao,7106,Tha Muang,Kanchanaburi,14.055,99.613
Khok Tabong,7105,Tha Maka,Kanchanaburi,13.839,99.746
Tha Sao,7105,Tha Maka,Kanchanaburi,13.843,99.805
Khao Sam Sip Hap,7105,Tha Maka,Kanchanaburi,13.865,99.719
Phong Tuek,7105,Tha Maka,Kanchanaburi,13.869,99.776
Don Khamin,7105,Tha Maka,Kanchanaburi,13.884,99.826
Wai Niao,7105,Tha Maka,Kanchanaburi,13.902,99.759
Tha Mai,7105,Tha Maka,Kanchanaburi,13.906,99.801
Yang Muang,7105,Tha Maka,Kanchanaburi,13.921,99.834
Saen To,7105,Tha Maka,Kanchanaburi,13.922,99.732
Tha Maka,7105,Tha Maka,Kanchanaburi,13.93,99.779
Tha Ruea,7105,Tha Maka,Kanchanaburi,13.954,99.752
Sanam Yae,7105,Tha Maka,Kanchanaburi,13.954,99.851
Don Cha-Em,7105,Tha Maka,Kanchanaburi,13.971,99.807
Takhram En,7105,Tha Maka,Kanchanaburi,13.992,99.744
Phra Thaen,7105,Tha Maka,Kanchanaburi,14.018,99.792
Nong Lan,7105,Tha Maka,Kanchanaburi,14.037,99.827
Ulok Si Muen,7105,Tha Maka,Kanchanaburi,14.06,99.773
Nong Kum,7103,Bo Phloi,Kanchanaburi,14.205,99.462
Bo Phloi,7103,Bo Phloi,Kanchanaburi,14.305,99.466
Chong Dan,7103,Bo Phloi,Kanchanaburi,14.412,99.437
Lum Rang,7103,Bo Phloi,Kanchanaburi,14.485,99.481
Nong Ri,7103,Bo Phloi,Kanchanaburi,14.54,99.356
Don Chedi,7109,Phanom Thuan,Kanchanaburi,14.036,99.674
Nong Sarai,7109,Phanom Thuan,Kanchanaburi,14.067,99.728
Thung Samo,7109,Phanom Thuan,Kanchanaburi,14.076,99.667
Phanom Thuan,7109,Phanom Thuan,Kanchanaburi,14.129,99.705
Phang Tru,7109,Phanom Thuan,Kanchanaburi,14.134,99.746
Nong Rong,7109,Phanom Thuan,Kanchanaburi,14.162,99.622
Don Ta Phet,7109,Phanom Thuan,Kanchanaburi,14.192,99.678
Rang Wai,7109,Phanom Thuan,Kanchanaburi,14.232,99.767
Tha Kradan,7104,Si Sawat,Kanchanaburi,14.366,99.174
Nong Pet,7104,Si Sawat,Kanchanaburi,14.464,99.232
Mae Krabung,7104,Si Sawat,Kanchanaburi,14.527,98.996
Dan Mae Chalaep,7104,Si Sawat,Kanchanaburi,14.691,98.98
Khao Chot,7104,Si Sawat,Kanchanaburi,14.885,99.183
Na Suan,7104,Si Sawat,Kanchanaburi,14.895,99.029
Prang Phle,7108,Sangkhla Buri,Kanchanaburi,14.999,98.545
Nong Lu,7108,Sangkhla Buri,Kanchanaburi,15.112,98.341
Lai Wo,7108,Sangkhla Buri,Kanchanaburi,15.345,98.664
Nong Pla Lai,7112,Nong Prue,Kanchanaburi,14.626,99.527
Nong Prue,7112,Nong Prue,Kanchanaburi,14.63,99.454
Somdet Charoen,7112,Nong Prue,Kanchanaburi,14.746,99.338
Don Salaep,7113,Huai Krachao,Kanchanaburi,14.292,99.701
Huai Krachao,7113,Huai Krachao,Kanchanaburi,14.312,99.618
Sa Long Ruea,7113,Huai Krachao,Kanchanaburi,14.357,99.764
Wang Phai,7113,Huai Krachao,Kanchanaburi,14.434,99.597
